Game Number,Final Step,Multiplier,Outcome,Winnings,Cost,Crash Point,Cashout Point,Used Bonus
9127,20,46.82,Cashed out,46.82,36.78,35,20,Mystic
9128,7,3.84,Crashed during move,0.00,4.85,14,20,Mystic
9129,7,3.84,Crashed during move,0.00,5.67,8,20,Mystic
9130,16,21.69,Crashed during move,0.00,18.86,17,20,Mystic
9131,11,8.29,Crashed during move,0.00,4.85,13,20,Mystic
9132,6,3.17,Crashed during move,0.00,4.85,9,20,Mystic
9133,6,3.17,Crashed during move,0.00,7.86,8,20,Mystic
9134,10,6.84,Crashed during move,0.00,4.85,13,20,Mystic
9135,5,2.62,Crashed during move,0.00,5.67,6,20,Mystic
9136,1,1.21,Crashed during move,0.00,1.00,2,20,
9137,0,1.00,Crashed during move,0.00,1.00,1,20,
9138,20,46.82,Cashed out,46.82,51.76,21,20,Mystic
9139,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
9140,20,46.82,Cashed out,46.82,22.78,23,20,Mystic
9141,0,1.00,Crashed during move,0.00,1.00,2,20,
9142,0,1.00,Crashed during move,0.00,1.00,2,20,
9143,20,46.82,Cashed out,46.82,60.07,28,20,Mystic
9144,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9145,8,4.66,Crashed during move,0.00,4.85,13,20,Mystic
9146,5,2.62,Crashed during move,0.00,4.85,6,20,Mystic
9147,20,46.82,Cashed out,46.82,154.72,28,20,Mystic
9148,20,46.82,Cashed out,46.82,32.01,24,20,Mystic
9149,20,46.82,Cashed out,46.82,82.12,27,20,Mystic
9150,5,2.62,Crashed during move,0.00,5.67,6,20,Mystic
9151,20,46.82,Cashed out,46.82,61.83,26,20,Mystic
9152,9,5.65,Crashed during move,0.00,4.85,18,20,Mystic
9153,0,1.00,Crashed during move,0.00,1.00,6,20,
9154,3,1.78,Crashed during move,0.00,1.00,4,20,
9155,0,1.00,Crashed during move,0.00,1.00,1,20,
9156,20,46.82,Cashed out,46.82,145.49,38,20,Mystic
9157,0,1.00,Crashed during move,0.00,1.00,10,20,
9158,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
9159,20,46.82,Cashed out,46.82,149.30,29,20,Mystic
9160,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
9161,0,1.00,Crashed during move,0.00,1.00,3,20,
9162,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
9163,11,8.29,Crashed during move,0.00,7.86,12,20,Mystic
